Station;Partnumber;Parameter_3;Parameter_4;Parameter_5;Parameter_6;Parameter_7;Parameter_8;Parameter_9;Parameter_10;Parameter_11
Station_1;1111111111;XXXXX;2222-22-22T10:25:49;0;1;42.39;31.37;31.38;;0
Station_1;1111111111;XXXXX;2222-22-22T10:27:28;0;25;98.68;31.35;31.36;;0
Station_1;1111111111;XXXXX;2222-22-22T10:28:04;0;38;36.44;30.91;30.92;;0
Station_1;1111111111;XXXXX;2222-22-22T10:28:56;0;15;52;31.56;31.57;;0
Station_1;1111111111;XXXXX;2222-22-22T10:29:33;0;37;36.61;31.3;31.31;;0
Station_1;1111111111;XXXXX;2222-22-22T10:31:14;0;5;101.75;31.27;31.28;;0
Station_1;1111111111;XXXXX;2222-22-22T10:31:51;0;24;36.38;31.19;31.2;;0
Station_1;1111111111;XXXXX;2222-22-22T10:32:38;0;6;47.25;31.28;31.29;;0
Station_1;1111111111;XXXXX;2222-22-22T11:12:25;0;27;9.85;31.21;31.22;;0
Station_1;1111111111;XXXXX;2222-22-22T11:25:25;0;30;9.85;31.45;31.46;;0
Station_1;1111111111;XXXXX;2222-22-22T11:26:01;0;2;36.53;30.91;30.92;;0
Station_1;1111111111;XXXXX;2222-22-22T11:26:37;0;26;36.04;31.17;31.18;;0
Station_1;1111111111;XXXXX;2222-22-22T11:27:14;0;20;36.25;31.24;31.25;;0
Station_1;1111111111;XXXXX;2222-22-22T11:27:50;0;40;36.37;31.23;31.24;;0
Station_1;1111111111;XXXXX;2222-22-22T11:28:27;0;28;36.41;31.4;31.41;;0
Station_1;1111111111;XXXXX;2222-22-22T11:29:03;0;1;36.52;31.2;31.21;;0
Station_1;1111111111;XXXXX;2222-22-22T11:29:39;0;36;36.3;31.37;31.38;;0
Station_1;1111111111;XXXXX;2222-22-22T11:30:35;0;11;55.24;30.9;30.91;;0
Station_1;1111111111;XXXXX;2222-22-22T11:31:11;0;16;36.01;31.33;31.34;;0
Station_1;1111111111;XXXXX;2222-22-22T11:31:47;0;19;36.45;31.46;31.47;;0
Station_1;1111111111;XXXXX;2222-22-22T11:32:36;0;35;49.41;31.54;31.55;;0
Station_1;1111111111;XXXXX;2222-22-22T11:33:13;0;21;36.63;31.31;31.32;;0
Station_1;1111111111;XXXXX;2222-22-22T11:33:49;0;6;36.39;31.53;31.54;;0
Station_1;1111111111;XXXXX;2222-22-22T11:34:26;0;27;36.65;31.38;31.39;;0
Station_1;1111111111;XXXXX;2222-22-22T11:35:19;0;23;52.66;31.27;31.28;;0
Station_1;1111111111;XXXXX;2222-22-22T14:25:02;0;7;9.86;30.86;30.87;;0
Station_1;1111111111;XXXXX;2222-22-22T14:25:38;0;20;35.91;31.2;31.21;;0
Station_1;1111111111;XXXXX;2222-22-22T14:26:15;0;40;36.32;31.27;31.28;;0
Station_1;1111111111;XXXXX;2222-22-22T14:26:51;0;28;36.34;31.46;31.47;;0
Station_1;1111111111;XXXXX;2222-22-22T14:27:27;0;12;36.51;30.88;30.89;;0
Station_1;1111111111;XXXXX;2222-22-22T14:28:03;0;18;35.97;31.25;31.27;;0
Station_1;1111111111;XXXXX;2222-22-22T14:29:16;0;15;72.39;31.24;31.25;;0
Station_1;1111111111;XXXXX;2222-22-22T14:30:29;0;19;73.66;31.47;31.49;;0
